S.no,City,Industry,Business Name,Location,Google Ratings,Email,Website ,Phone Number,"Call for (ERP,Website, AI Solutions)",Call date and time,Remarks,Source_File,hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,Jn12ke src,ah5Ghc,W4Efsd 7,Unnamed: 18,Unnamed: 19
1,Ghaziabad,Automotive,Om Balajee Automobile India Pvt. Ltd.,"Uttar Pradesh, India",4.1,,https://www.obavehicles.in/,097736 95720,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
2,Ghaziabad,Automotive,SHAKTI AUTO INDUSTRIES,"Uttar Pradesh, India",4.9,,https://www.ascotindia.com/,099589 10022,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
3,Ghaziabad,Automotive,JAI AUTO PVT LTD,"Uttar Pradesh, India",4.2,,http://www.jaiauto.in/,0120 411 1732,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
4,Ghaziabad,Automotive,SINGH AUTO INDUSTRIES,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
5,Ghaziabad,Automotive,A.V.AUTOMOTIVES PVT. LTD. (DIAMOND E-RICKSHAW),"Uttar Pradesh, India",4.5,,https://www.diamondevehicles.com/contact-us.html,092668 12299,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
6,Ghaziabad,Automotive,Indus Marmara Auto Components Private Limited,"Uttar Pradesh, India",4.2,,https://indusmarmara.com/,098717 55088,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
7,Ghaziabad,Automotive,Shree Tulsi Automobiles,"Uttar Pradesh, India",4.9,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
8,Ghaziabad,Automotive,SACHDEVA AUTO ENGINEERS (P) Ltd.,"Uttar Pradesh, India",4.3,,http://www.diamondevehicles.com/,0120 415 6718,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
9,Ghaziabad,Automotive,Automotive Group,"Uttar Pradesh, India",5,,https://www.youtube.com/@automotivegroupin8109,097182 64780,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
10,Ghaziabad,Automotive,AVA Auto Components,"Uttar Pradesh, India",4.6,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
11,Ghaziabad,Automotive,Autoflex Private Limited,"Uttar Pradesh, India",4,,https://autoflex.in/,098100 38381,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
12,Ghaziabad,Automotive,Shakti Auto values & Engg co (P) Ltd,"Uttar Pradesh, India",1,,,095601 95007,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
13,Ghaziabad,Automotive,Ghaziabad Auto Parts,"Uttar Pradesh, India",5,,,081786 95484,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
14,Ghaziabad,Automotive,L'atelier Citroën Workshop Ghaziabad-Dream,"Uttar Pradesh, India",4.9,,,092899 13366,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
15,Ghaziabad,Automotive,Velocity Auto Car Accessories And Audio Store - Ghaziabad,"Uttar Pradesh, India",4.9,,http://velocityauto.in/,086999 90703,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
16,Ghaziabad,Automotive,VinFast Ghaziabad,"Uttar Pradesh, India",4.6,,https://velocityfintrust.com/,097726 66691,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
